"T","U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
293.5,0.014925,0,0,8.25779,0,0,-0.01
293.5,0,0,0,8.25339,0.0286091,0,-0.01
293.5,0,0,0,8.24571,0.0568883,0,-0.01
293.5,0,0,0,8.23902,0.0848413,0,-0.01
293.5,0,0,0,8.23234,0.112472,0,-0.01
293.5,0,0,0,8.22593,0.139784,0,-0.01
293.5,0,0,0,8.21979,0.166781,0,-0.01
293.5,0,0,0,8.21395,0.193467,0,-0.01
293.501,0,0,0,8.2084,0.219845,0,-0.01
293.501,0,0,0,8.20317,0.245919,0,-0.01
293.501,0,0,0,8.19824,0.271692,0,-0.01
293.501,0,0,0,8.19362,0.297168,0,-0.01
293.502,0,0,0,8.18931,0.322351,0,-0.01
293.502,0,0,0,8.18531,0.347243,0,-0.01
293.503,0,0,0,8.18161,0.371847,0,-0.01
293.503,0,0,0,8.17821,0.396169,0,-0.01
293.504,0,0,0,8.17511,0.420209,0,-0.01
293.506,0,0,0,8.17231,0.443973,0,-0.01
293.507,0,0,0,8.16979,0.467462,0,-0.01
293.509,0,0,0,8.16755,0.49068,0,-0.01
293.512,0,0,0,8.1656,0.513631,0,-0.01
293.515,0,0,0,8.16392,0.536317,0,-0.01
293.519,0,0,0,8.16251,0.558742,0,-0.01
293.524,0,0,0,8.16136,0.580908,0,-0.01
293.53,0,0,0,8.16046,0.602818,0,-0.01
293.537,0,0,0,8.15982,0.624476,0,-0.01
293.546,0,0,0,8.15942,0.645883,0,-0.01
293.557,0,0,0,8.15926,0.667044,0,-0.01
293.571,0,0,0,8.15932,0.687961,0,-0.01
293.587,0,0,0,8.15961,0.708637,0,-0.01
293.607,0,0,0,8.16011,0.729075,0,-0.01
293.63,0,0,0,8.16082,0.749276,0,-0.01
293.658,0,0,0,8.16173,0.769245,0,-0.01
293.691,0,0,0,8.16283,0.788983,0,-0.01
293.729,0,0,0,8.1641,0.808494,0,-0.01
293.775,0,0,0,8.16556,0.82778,0,-0.01
293.828,0,0,0,8.16717,0.846844,0,-0.01
293.89,0,0,0,8.16894,0.865687,0,-0.01
293.961,0,0,0,8.17085,0.884314,0,-0.01
294.044,0,0,0,8.1729,0.902725,0,-0.01
294.138,0,0,0,8.17507,0.920924,0,-0.01
294.245,0,0,0,8.17736,0.938914,0,-0.01
294.367,0,0,0,8.17976,0.956696,0,-0.01
294.505,0,0,0,8.18225,0.974272,0,-0.01
294.659,0,0,0,8.18482,0.991647,0,-0.01
294.832,0,0,0,8.18748,1.00882,0,-0.01
295.025,0,0,0,8.19019,1.0258,0,-0.01
295.238,0,0,0,8.19297,1.04258,0,-0.01
295.474,0,0,0,8.19578,1.05916,0,-0.01
295.733,0,0,0,8.19864,1.07556,0,-0.01
296.016,0,0,0,8.20152,1.09176,0,-0.01
296.324,0,0,0,8.20443,1.10778,0,-0.01
296.658,0,0,0,8.20734,1.12362,0,-0.01
297.019,0,0,0,8.21026,1.13927,0,-0.01
297.407,0,0,0,8.21318,1.15474,0,-0.01
297.821,0,0,0,8.21609,1.17003,0,-0.01
298.263,0,0,0,8.21898,1.18515,0,-0.01
298.732,0,0,0,8.22187,1.20009,0,-0.01
299.228,0,0,0,8.22473,1.21486,0,-0.01
299.75,0,0,0,8.22758,1.22946,0,-0.01
300.297,0,0,0,8.2304,1.24389,0,-0.01
300.87,0,0,0,8.23321,1.25816,0,-0.01
301.465,0,0,0,8.236,1.27226,0,-0.01
302.084,0,0,0,8.23877,1.2862,0,-0.01
302.723,0,0,0,8.24152,1.29998,0,-0.01
303.383,0,0,0,8.24425,1.31359,0,-0.01
304.06,0,0,0,8.24695,1.32705,0,-0.01
304.404,0,0,0,8.24829,1.34036,0,-0.01
293.5,0.05925,0,0,8.25795,0,0.01,-0.01
293.5,0.0591734,-3.44528e-06,0,8.25348,0.0286091,0.01,-0.01
293.5,0.0592945,3.21968e-05,0,8.24575,0.0568883,0.01,-0.01
293.5,0.0590722,4.3432e-05,0,8.23909,0.0848413,0.01,-0.01
293.5,0.058827,6.21093e-05,0,8.23243,0.112472,0.01,-0.01
293.5,0.0585018,7.69513e-05,0,8.22604,0.139784,0.01,-0.01
293.5,0.0581162,9.01432e-05,0,8.21992,0.166781,0.01,-0.01
293.5,0.057677,0.000102234,0,8.2141,0.193467,0.01,-0.01
293.501,0.0571894,0.000113477,0,8.20857,0.219845,0.01,-0.01
293.501,0.0566577,0.000124086,0,8.20335,0.245919,0.01,-0.01
293.501,0.0560853,0.000134206,0,8.19844,0.271692,0.01,-0.01
293.501,0.0554751,0.000143942,0,8.19383,0.297168,0.01,-0.01
293.502,0.0548295,0.000153376,0,8.18954,0.322351,0.01,-0.01
293.502,0.0541504,0.000162572,0,8.18555,0.347243,0.01,-0.01
293.503,0.0534395,0.00017158,0,8.18187,0.371847,0.01,-0.01
293.503,0.0526985,0.000180437,0,8.17848,0.396169,0.01,-0.01
293.504,0.0519285,0.000189175,0,8.1754,0.420209,0.01,-0.01
293.506,0.0511307,0.000197817,0,8.1726,0.443973,0.01,-0.01
